"","customer_no","payment_history_avg_dpd_0_29_bucket","total_diff_lastpaymt_opened_dt","min_months_last_30_plus","utilisation_trend","ratio_currbalance_creditlimit","mean_diff_lastpaymt_opened_dt","payment_history_mean_length"
"45","45","0.375","8694","3","3.36763782051282","0.940762019230769","1086.75","76.125"
"46","46","1","1357","36","1.3","1.00085","1357","108"
"47","47","0.272727272727273","9495","1","5.0414652014652","5.95171208791209","452.142857142857","37.3636363636364"
"48","48","1","850","11","2","0.95385","425","70.5"
"49","49","0.5","2092","2","2.39130434782609","0.417417391304348","418.4","54"
"50","50","1","1963","1","3.3","1.08450505050505","654.333333333333","49"
"51","51","0.833333333333333","5063","2","3.6","0.734637037037037","843.833333333333","60.5"
"52","52","1","813","3","1.25620437956204","0.195788321167883","271","33"
"53","53","0.5","1385","10","","","692.5","64.5"
"54","54","0.571428571428571","5482","1","9.33333333333333","2.49686666666667","783.142857142857","30"
"55","55","0.533333333333333","12472","3","2.58170412561576","1.0899224137931","831.466666666667","56.6"
"56","56","0.461538461538462","17570","1","2.14496573537164","0.0286531365313653","798.636363636364","67.3846153846154"
"57","57","0.571428571428571","3113","1","7","20.9206666666667","518.833333333333","72"
"58","58","0.65","11002","1","22","7.65503","579.052631578947","36.45"
"59","59","0.666666666666667","2496","1","2.28448275862069","0.6615","416","34"
"60","60","0.714285714285714","2231","3","9.1","1.67736666666667","318.714285714286","36.4285714285714"
"61","61","0.5","162","2","","","81","4.5"
"62","62","0.5","5221","15","2.95672514619883","2.13221052631579","745.857142857143","70.5"
"63","63","0.5","1869","2","","","934.5","82.5"
"64","64","0.777777777777778","5459","9","4.95","0.136640350877193","606.555555555556","52.3333333333333"
"65","65","0.666666666666667","6544","3","3.3","0.15869","1090.66666666667","27"
"66","66","1","1557","25","1.41538461538462","0.0622189349112426","778.5","78"
"67","67","1","1515","9","4.4","3.64922388059701","378.75","41.25"
"68","68","1","4703","8","3.87585227272727","4.68860795454545","671.857142857143","69.4285714285714"
"69","69","0.5","349","5","","","174.5","21"
"70","70","0.714285714285714","5733","1","6.09541062801932","1.27225120772947","273","26"
"71","71","1","1133","4","3.3","0.591676470588235","377.666666666667","40"
"72","72","1","2399","12","4","4.30552","599.75","62.25"
"73","73","0.666666666666667","578","5","3.6","0.733384615384615","289","33"
"74","74","0.571428571428571","6905","1","7.80677966101695","4.27645762711864","531.153846153846","39.2142857142857"
"75","75","0.333333333333333","3909","22","1.56730769230769","-0.000346153846153846","1303","94"
"76","76","0.4","15194","1","3.26278191049711","2.7830145235565","1688.22222222222","81"
"77","77","0.4","8978","0","6.35294117647059","0.770647058823529","997.555555555556","69.9"
"78","78","0.777777777777778","9522","10","2.8","0.497283333333333","1058","85"
"79","79","1","695","11","2","0.656466666666667","347.5","43.5"
"80","80","0.333333333333333","665","7","","","221.666666666667","9"
"81","81","0.333333333333333","2319","2","7.2","0.924701754385965","386.5","31.5"
"82","82","0.7","8256","1","4.19733886296872","0.192099533437014","917.333333333333","61.2"
"83","83","0.333333333333333","7852","8","6","22.5937777777778","654.333333333333","48"
"84","84","1","513","18","","","513","54"
"85","85","1","2676","7","2.6","0.0821428571428571","1338","33"
"86","86","1","4444","4","3.66086956521739","7.85828260869565","740.666666666667","57"
"87","87","0.5","5706","0","4.74309623430962","0.821050209205021","380.4","31.5"
"88","88","0.285714285714286","3190","2","3.85","1.779825","455.714285714286","49.2857142857143"
"89","89","1","850","8","3","22.8816533333333","283.333333333333","31"
"90","90","0.5","3735","2","5.2","0.01435","933.75","56.25"
"91","91","0.8","1299","1","","","324.75","22.8"
"92","92","0.7","10255","22","2.75291828793774","0.264456549935149","1025.5","84.3"
"93","93","0.571428571428571","4822","2","3.85","0.909008064516129","688.857142857143","51.8571428571429"
"94","94","0.533333333333333","11190","1","5.04925650557621","13.3521115241636","799.285714285714","62"
"95","95","0.5","9593","1","4.13950073421439","0.37247577092511","959.3","72.9"
"96","96","1","437","5","2.4","0.237630769230769","218.5","24"
"97","97","0.666666666666667","6857","1","4.456","4.17817","571.416666666667","41.75"
"98","98","0.714285714285714","1233","1","14","3.28485714285714","205.5","15"
"99","99","0.142857142857143","4560","17","7","12.4842950819672","760","57.8571428571429"
"100","100","1","419","13","","","419","39"
"101","101","0.25","11375","3","3.4485727231536","0.187308563661078","1263.88888888889","49.25"
"102","102","0.166666666666667","3477","9","6","3.2551625","579.5","70.5"
"103","103","0.333333333333333","2457","6","1.78695652173913","0.205891304347826","819","60"
"104","104","0.75","862","1","2.33131313131313","2.83507070707071","287.333333333333","26.25"
"105","105","1","5050","3","2.68051075268817","0.424387096774194","721.428571428571","52.2857142857143"
"106","106","1","590","5","","","196.666666666667","23"
"107","107","0.636363636363636","4054","3","6.05","17.8237552447552","368.545454545455","36.2727272727273"
"108","108","0.833333333333333","3045","5","3.55890410958904","3.74914383561644","609","45.5"
"109","109","0.5","4385","1","1.99063829787234","0.1042","626.428571428571","43.875"
"110","110","0.736842105263158","9637","1","4.56540925266904","2.69853736654804","602.3125","41.5263157894737"
"111","111","1","1474","8","","","491.333333333333","51"
"112","112","0.375","7882","0","4.72727272727273","16.4979363636364","985.25","77.625"
"113","113","0.625","3663","1","8.8","3.33074074074074","457.875","25.125"
"114","114","0.6","504","1","","","168","11.4"
"115","115","1","1791","2","4.16785714285714","1.22205952380952","298.5","32.5"
"116","116","0.357142857142857","14795","1","2.70134099616858","1.37216858237548","1056.78571428571","73.2857142857143"
"117","117","1","856","2","3.6","7.40225","285.333333333333","30"
"118","118","1","962","15","","","481","51"
"119","119","0.111111111111111","6827","10","","","758.555555555556","53"
"120","120","0.444444444444444","17087","2","5.13658536585366","0.704231707317073","1005.11764705882","72.6666666666667"
"121","121","0.571428571428571","2613","3","8.4","0.758338709677419","373.285714285714","48.8571428571429"
"122","122","1","1388","5","6.5","0.949824175824176","347","45.6"
"123","123","0.75","8724","1","5.35849056603774","1.32380660377358","1090.5","60.75"
"124","124","1","466","8","","","233","28.5"
"125","125","0.5","4861","10","3.52672811059908","5.96378801843318","810.166666666667","77"
"126","126","1","4252","2","3.9","0.00212037037037037","708.666666666667","63"
"127","127","0.5","2983","3","","","1491.5","108"
"128","128","0.75","5692","2","4.66086956521739","2.00893043478261","711.5","51.375"
"129","129","0.75","4734","4","3.76277495769882","0.74017089678511","394.5","36.25"
"130","130","0.666666666666667","2379","5","1.90957446808511","0.109893617021277","793","44"
"131","131","0.666666666666667","942","5","1.85037313432836","0.351731343283582","314","34"
"132","132","0.5","2590","8","5.2","1.19656470588235","863.333333333333","18.75"
"133","133","0.333333333333333","5329","1","4.43263403263403","0.412657342657343","444.083333333333","43.75"
"134","134","0.2","7195","0","1.8764880952381","0.369598214285714","1439","93.6"
"135","135","0.705882352941177","12967","1","18.7","2.8415","762.764705882353","47.2941176470588"
"136","136","0.5","6774","1","6.21374045801527","2.35841984732824","677.4","60.9"
"137","137","1","853","2","1.94212962962963","0.240347222222222","170.6","20.4"
"138","138","1","2157","7","2.8112582781457","1.2741059602649","431.4","45.6"
"139","139","1","2632","2","8.07692307692308","13.5221846153846","376","39.8571428571429"
"140","140","1","1127","36","","","1127","108"
"141","141","0.666666666666667","8943","1","2.00996868475992","0.459432150313152","993.666666666667","66"
"142","142","0.777777777777778","6648","0","5.77640186915888","92.358976635514","949.714285714286","43.6666666666667"
"143","143","0.176470588235294","26172","3","3.0862587611627","9.31850997972036","1539.52941176471","79.2352941176471"
"144","144","0.458333333333333","39292","1","15.0325581395349","239.198511627907","818.583333333333","52.25"
"145","145","0.8","3738","1","2.77777777777778","7.11391851851852","747.6","49.2"
"146","146","0.7","21653","3","4.12839974699557","2.14088425047438","1082.65","72.45"
"147","147","0.857142857142857","3310","2","2.11033755274262","9.78074683544304","551.666666666667","46.7142857142857"
"148","148","0.333333333333333","2440","2","","","406.666666666667","27.5"
"149","149","1","4548","4","2.86956521739131","1.21423188405797","909.6","62"
"150","150","0.888888888888889","1679","3","9.9","7.28236842105263","186.555555555556","19.3333333333333"
"151","151","0.6","4326","24","2.75","0.721426751592357","865.2","88.8"
"152","152","0.666666666666667","15689","4","4.54895104895105","1.43292307692308","1045.93333333333","73.2"
"153","153","0.423076923076923","26580","1","2.94200371057514","0.00759948979591837","1022.30769230769","61.0384615384615"
"154","154","0.833333333333333","2057","2","3.4063829787234","0.661418439716312","342.833333333333","31.5"
"155","155","1","3064","2","5.2","0.494822429906542","383","40.5"
"156","156","1","432","2","","","432","27"
"157","157","1","197","1","2.3125","0.176390625","197","12"
"158","158","1","1758","5","5.5","18.0732","351.6","39"
"159","159","0.6","6697","1","1.42344497607656","0.244194577352472","1674.25","58.8"
"160","160","0.5","4684","18","5.2","2.27305333333333","1171","82.5"
"161","161","0.714285714285714","11196","2","8.4","11.0866038671294","1017.81818181818","48"
"162","162","0.727272727272727","5571","2","3.09253164556962","1.99783291139241","506.454545454545","42.2727272727273"
"163","163","","2371","14","","","790.333333333333","43.5"
"164","164","1","587","8","2.4","0.526722772277228","293.5","33"
"165","165","0.75","745","4","1.54126984126984","0.330603174603175","186.25","20.25"
"166","166","0.5","6513","23","3.74095238095238","8.53718571428571","814.125","75.75"
"167","167","0.833333333333333","3636","5","3.36315789473684","17.8391184210526","606","62"
"168","168","0.666666666666667","565","3","3.9","0.0949449541284404","188.333333333333","22"
"169","169","0.6","3189","5","5","9.9648","797.25","62.4"
"170","170","0.5","3095","2","15.6","5.56260571428571","281.363636363636","34.75"
"171","171","0.75","776","5","","","194","21"
"172","172","0.5","1830","0","2","0.825386666666667","915","99"
"173","173","0.444444444444444","20608","5","11.049504950495","2.67653465346535","1144.88888888889","61.3333333333333"
"174","174","0.714285714285714","5469","12","2.93039215686275","1.59840756302521","781.285714285714","67.7142857142857"
"175","175","0.5","4134","16","2.45276595744681","0.174625531914894","826.8","68.5"
"176","176","0.666666666666667","2111","1","2.25283018867925","0.247654088050314","351.833333333333","27.5"
"177","177","1","2474","6","3.43218390804598","3.64208620689655","309.25","26.625"
"178","178","0.7","7593","1","2.37951807228916","0.0115120481927711","759.3","65.7"
"179","179","1","3347","12","3.54453781512605","0.636436974789916","669.4","75"
"180","180","1","1886","5","2.6","0.038034188034188","943","61.5"
"181","181","0.727272727272727","3386","1","6.2077868852459","1.72940163934426","338.6","32.4545454545455"
"182","182","0.625","2692","1","5.64705882352941","0.482720588235294","336.5","26.625"
"183","183","0.4","734","5","","","183.5","7.8"
"184","184","0.75","7259","1","4.76783216783217","1.67101398601399","604.916666666667","49.75"
"185","185","0.75","1696","7","2.54186046511628","0.0244418604651163","424","44.25"
"186","186","0.714285714285714","4768","9","4.26376518218624","0.190408906882591","681.142857142857","58.2857142857143"
"187","187","1","459","2","","","153","16.5"
"188","188","0.6","20228","6","","","1011.4","75.6"
"189","189","0.583333333333333","33040","1","7.03017902813299","12.8939501278772","1573.33333333333","41.25"
"190","190","0.666666666666667","2184","1","","0","242.666666666667","18.3333333333333"
"191","191","1","289","10","","","289","30"
"192","192","0.5","1588","32","","","794","102"
"193","193","1","251","10","","","251","30"
"194","194","0.5","6514","0","3.78292682926829","0.146085365853659","1085.66666666667","62.5"
"195","195","1","1390","5","2.21686746987952","1.02246987951807","347.5","37.5"
"196","196","1","663","8","2.6","0.140660377358491","331.5","36"
"197","197","0.615384615384615","17398","6","3.41905071521456","1.43869180754226","1338.30769230769","77.3076923076923"
"198","198","1","1713","16","3.3","1.82194642857143","571","59"
"199","199","0.285714285714286","52845","2","2.99957494715559","0.0610955794504182","2032.5","91.7142857142857"
"200","200","0.857142857142857","4224","1","7","17.0077666666667","603.428571428571","49.7142857142857"
"201","201","0.275862068965517","25566","1","6.78910714285714","0.51125","913.071428571429","56.8965517241379"
"202","202","0.36","18012","1","4.81138129010469","0.357085106382979","783.130434782609","48.36"
"203","203","0.3125","19626","1","6.81492921492921","9.74106370656371","1226.625","68.0625"
"204","204","0.6","6508","4","","","650.8","78.9"
"205","205","0.75","729","3","","","182.25","21.75"
"206","206","0.384615384615385","8288","1","","","637.538461538462","39.9230769230769"
"207","207","0.5","2125","0","","","1062.5","69"
"208","208","0.666666666666667","11823","1","3.68256130790191","0.0559482288828338","909.461538461538","61"
"209","209","0.666666666666667","2210","4","6.6","0.769593333333333","368.333333333333","48"
"210","210","0.875","2725","2","2.82578268876611","13.707138121547","389.285714285714","37.5"
"211","211","0.625","4173","1","88","189.575","521.625","38.25"
"212","212","0.483870967741935","37714","1","4.6615204926736","0.216836908048418","1216.58064516129","49.4516129032258"
"213","213","0.578947368421053","18120","1","3.90975272007913","0.830826904055391","953.684210526316","59.8421052631579"
"214","214","0.8","3455","5","1.87254901960784","0.0814088235294118","691","66"
"215","215","0.666666666666667","1228","10","3.6","0.563387931034483","409.333333333333","45"
"216","216","0.6","4780","2","2.85789473684211","1.15815789473684","956","98.4"
"217","217","1","5936","1","3.06455399061033","1.39989671361502","848","29.5714285714286"
"218","218","0.428571428571429","5103","3","5.33107344632768","0.793779661016949","364.5","35.7857142857143"
"219","219","0.5625","18122","0","4.4758064516129","2.61411693548387","1394","60.5625"
"220","220","0.545454545454545","6662","4","12.1","17.25275","605.636363636364","60.2727272727273"
"221","221","0.8","4045","0","","","809","57.6"
"222","222","0.333333333333333","9306","15","3.84905660377359","0.0385","1034","83.6666666666667"
"223","223","0.75","3799","4","5.2","4.47226984126984","949.75","78.75"
"224","224","0.5","8776","5","6.07936507936508","1.8340873015873","877.6","66"
"225","225","0.666666666666667","4036","6","3.53258426966292","10.5969943820225","336.333333333333","29.75"
"226","226","0.5","573","5","","","191","18"
"227","227","0.333333333333333","13512","6","2.94056603773585","4.03015849056604","1501.33333333333","94.3333333333333"
"228","228","0.470588235294118","26676","1","5.47979918086934","6.74155053507729","784.588235294118","52.1470588235294"
"229","229","1","2647","9","3.9","0.187641791044776","882.333333333333","71"
"230","230","0.8","2758","10","2.75","0.326616541353383","551.6","55.8"
"231","231","0.75","3760","7","1.50507544581619","0.617333333333333","940","80.25"
"232","232","0.285714285714286","2963","4","","","227.923076923077","25.7142857142857"
"233","233","1","796","11","2.6","0.727614173228346","398","42"
"234","234","0.454545454545455","19271","1","6.82761299435028","2.23870338983051","917.666666666667","46.7727272727273"
"235","235","","1086","10","2","0.869733333333333","543","57"
"236","236","0.7","9489","0","2.88447653429603","0.401115523465704","948.9","61.8"
"237","237","0.434782608695652","25532","1","3.74934196351387","5.50476653581479","1160.54545454545","60.3913043478261"
"238","238","0.666666666666667","495","1","","","165","10"
"239","239","0.5","1106","18","2.6","0.00577450980392157","553","66"
"240","240","0.5","4134","2","7.8","0.836813084112149","516.75","27"
"241","241","0.36","71370","0","11.7330016583748","2.16279104477612","1427.4","70.8"
"242","242","0.6","4879","1","2.28874458874459","-0.00226233766233766","975.8","52.2"
"243","243","0.166666666666667","8557","5","","","713.083333333333","58.75"
"244","244","0.714285714285714","4334","1","1.68399122807018","0.676084795321637","866.8","66"
"245","245","0.333333333333333","1531","10","","","510.333333333333","44"
"246","246","0.75","5211","2","2.90666666666667","1.51441","651.375","53.25"
"247","247","1","1371","23","2","1.09016417910448","685.5","72"
"248","248","0.523809523809524","33015","1","5.25549946436171","4.69721237481682","1572.14285714286","67.2857142857143"
"249","249","0.476190476190476","34357","1","3.35081967213115","0.19032131147541","1636.04761904762","81.5714285714286"
"250","250","0.75","1932","1","3.16111111111111","1.88777083333333","276","27.75"
"251","251","0.714285714285714","3155","5","3.85","41.2599090909091","450.714285714286","47.5714285714286"
"252","252","1","1197","11","3","0.680866666666667","399","46"
"253","253","1","504","2","2.29370078740157","0.590307086614173","252","20"
"254","254","0.5","5655","36","2.8","0.888850746268657","2827.5","108"
"255","255","0.833333333333333","5125","1","2.23313782991202","0.377615835777126","854.166666666667","62"
"256","256","1","455","1","2.19389312977099","0.0257251908396947","227.5","21"
"257","257","0.625","33650","7","1.7780324346447","0.00986647567401647","2103.125","84"
"258","258","0.285714285714286","18357","8","2.93016301292861","4.51385362563238","1311.21428571429","74.1428571428571"
"259","259","0.545454545454545","7608","1","2.76305379746835","16.5256392405063","760.8","55.6363636363636"
"260","260","0.5","3490","1","2.36644295302013","1.7025033557047","872.5","64.5"
"261","261","0.5","9288","1","2.33934959349593","0.0566283391405343","663.428571428571","55.7142857142857"
"262","262","0.457142857142857","32476","1","2.5796803652968","1.53778082191781","927.885714285714","45.1714285714286"
"263","263","1","1793","3","4.4","1.13472857142857","448.25","47.25"
"264","264","0.416666666666667","18056","24","6.4","11.9427610241821","1504.66666666667","75.75"
"265","265","0.6","3704","0","3.26111111111111","10.5398555555556","926","62.4"
"266","266","0.4","8139","5","5.67123287671233","2.02344520547945","813.9","51"
"267","267","0.5","1729","21","2.4","0.205974683544304","864.5","70.5"
"268","268","0.538461538461538","7873","1","6.5","5.17136507936508","605.615384615385","49.6153846153846"
"269","269","1","741","3","2.6578313253012","4.60416265060241","185.25","21.75"
"270","270","0.666666666666667","1483","4","1.66918604651163","0.314011627906977","494.333333333333","51"
"271","271","1","462","2","","","115.5","15"
"272","272","0.583333333333333","14943","1","3.65331010452962","6.07702787456446","1245.25","70.75"
"273","273","0.333333333333333","1722","14","1.70625","0.2868625","574","60"
"274","274","0.333333333333333","4214","1","4.88408163265306","0.478330612244898","383.090909090909","37"
"275","275","1","2140","7","","","535","30"
"276","276","1","256","1","","","256","16.5"
"277","277","0.25","4084","0","2.61298701298701","4.14075324675325","1021","82.5"
"278","278","0.333333333333333","12293","6","6.01793721973094","0.199233183856502","1024.41666666667","60"
"279","279","0.818181818181818","4758","3","12.1","4.97502","432.545454545455","35.7272727272727"
"280","280","0.777777777777778","4299","2","10.35","4.16881690140845","614.142857142857","48.3333333333333"
"281","281","0.333333333333333","17007","9","4.26643109540636","0.570282685512367","1417.25","64.5"
"282","282","1","1208","36","1.1","1.41876744186047","1208","108"
"283","283","1","1814","3","2.2949494949495","1.50054545454545","453.5","47.25"
"284","284","0.5625","15136","1","3.20770156438026","5.71300842358604","1009.06666666667","70.5"
"285","285","0.5","1433","0","2.43255813953488","1.26625581395349","286.6","39"
"286","286","1","2331","12","1.90222929936306","0.606605095541401","777","63"
"287","287","0.5","1778","11","1.62222222222222","0.0346126126126126","444.5","50.25"
"288","288","0.75","1477","1","2.10186335403727","1.50801863354037","492.333333333333","39.75"
"289","289","0.833333333333333","3363","1","3.4025641025641","2.65790598290598","672.6","45.5"
"290","290","0.333333333333333","885","1","","","295","29"
"291","291","1","472","4","2.2","2.22338636363636","236","25.5"
"292","292","1","4606","4","","","1535.33333333333","22"
"293","293","1","1908","15","2.4","0.0334166666666667","954","76.5"
"294","294","0.5","1949","15","4","0.271190476190476","974.5","76.5"
"295","295","0.125","7504","1","5.25977638969083","5.30255629625741","1072","48"
"296","296","1","1671","25","","","835.5","84"
"297","297","0.5","3734","7","5.2","0.413898148148148","933.5","80.25"
"298","298","0.6","3677","2","5","9.74345833333333","735.4","50.4"
"299","299","0.444444444444444","3374","1","6.40975609756098","33.4518780487805","374.888888888889","58"
"300","300","0.545454545454545","3617","3","6.24324324324324","5.45497297297297","328.818181818182","27.5454545454545"
"301","301","1","1392","36","","","1392","108"
"302","302","1","866","1","2.35714285714286","0.0161964285714286","866","46.5"
"303","303","0.75","3538","2","4","1.9469797979798","1179.33333333333","45.75"
"304","304","1","783","8","2.6","0.68140157480315","391.5","40.5"
"305","305","0.666666666666667","1808","25","","","602.666666666667","58"
"306","306","0.571428571428571","6161","30","1.89312126155519","3.44472104404568","880.142857142857","77.5714285714286"
"307","307","0.133333333333333","4113","4","18","6.77879032258064","293.785714285714","31"
"308","308","0.833333333333333","2029","3","4.44935064935065","2.76502597402597","338.166666666667","36.5"
"309","309","0.5","9136","1","8.45552297165201","3.51127272727273","456.8","35.7"
"310","310","0.875","3977","1","2.39478772593527","0.0434577553593947","662.833333333333","55.875"
"311","311","0.428571428571429","7072","2","3.85","5.38604181184669","1010.28571428571","65.5714285714286"
"312","312","0.666666666666667","2226","1","4.02926829268293","3.07091463414634","318","24"
"313","313","0.333333333333333","17416","0","6.04","0.6858","725.666666666667","49.5"
"314","314","0.666666666666667","6273","8","3.35433070866142","0.535370078740158","1045.5","64"
"315","315","0.909090909090909","10471","1","12.1","2.15116883116883","951.909090909091","63.8181818181818"
"316","316","1","358","3","","","119.333333333333","15"
"317","317","0.625","4392","0","9.40350877192983","5.49768421052632","549","48.75"
"318","318","0.8125","8557","4","2.96851851851852","2.00283950617284","534.8125","46.3125"
"319","319","1","900","13","2.4","0.704241379310345","450","46.5"
"320","320","0.5","5115","5","4","2.43105454545455","1278.75","48"
"321","321","1","1867","4","1.85979020979021","0.251328671328671","622.333333333333","41"
"322","322","0.4","22312","1","4.28332403792527","0.0352853690277003","1115.6","70.2"
"323","323","0.210526315789474","24907","0","6.46422669491526","2.02503813559322","1465.11764705882","55.7368421052632"
"324","324","1","351","1","3.9","0.00415625","175.5","14"
"325","325","0.75","1132","2","4.8","3.08638461538462","283","31.5"
"326","326","0.357142857142857","19226","3","28","12.7218723404255","712.074074074074","47.3571428571429"
"327","327","0.428571428571429","7170","1","3.44086757990868","1.89404109589041","1434","60.8571428571429"
"328","328","","4154","","","","830.8","60"
"329","329","0.428571428571429","7615","11","4.81119402985075","5.01567910447761","1087.85714285714","63"
"330","330","0.75","4730","27","4.83018867924528","14.8241320754717","1182.5","81"
"331","331","0.8","1793","6","2.8386524822695","0.462049645390071","358.6","40.2"
"332","332","0.4","2877","2","","","959","53.4"
"333","333","1","2469","3","3.76590330788804","2.58826335877863","308.625","32.625"
"334","334","0.636363636363636","7069","1","2.80434782608696","6.94434782608696","642.636363636364","45.8181818181818"
"335","335","0.5","5566","3","3.13066666666667","0.895585454545455","695.75","59.25"
"336","336","0.5","11036","3","2.75753317720531","0.157250585480094","1379.5","59.25"
"337","337","0.4","553","4","5.5","0.8034","184.333333333333","15.6"
"338","338","0.571428571428571","6038","1","1.58315677966102","0.577932203389831","862.571428571429","82.7142857142857"
"339","339","0.714285714285714","2584","3","2.55","0.561015873015873","369.142857142857","43.7142857142857"
"340","340","0.769230769230769","9153","1","5.83713850837138","2.52041095890411","704.076923076923","43.3846153846154"
"341","341","0.4","33112","3","2.77452153110048","0.0451626794258373","1182.57142857143","69.8"
"342","342","1","6555","3","3.44427480916031","0.633343511450382","1092.5","62"
"343","343","1","2200","12","3.6","0.281586206896552","366.666666666667","40"
"344","344","1","873","11","2.4","0.997159090909091","436.5","45"
"345","345","0.6","21433","1","3.96688741721854","0.494384105960265","1428.86666666667","47"
"346","346","0.6","4745","4","6","0.643228571428571","949","59.4"
"347","347","1","252","11","","","252","33"
"348","348","0.5","15183","1","6.5498127340824","1.25282209737828","1167.92307692308","38.25"
"349","349","0.875","4674","1","5.07162162162162","8.27613851351351","584.25","34.875"
"350","350","0.545454545454545","11012","1","5.13333333333333","1.81129275362319","1001.09090909091","61.3636363636364"
"351","351","1","1002","34","","","1002","102"
"352","352","1","1304","17","2.6","0.11860162601626","652","67.5"
"353","353","0.5","4353","5","","","725.5","63.5"
"354","354","0.571428571428571","5924","1","2.83354166666667","0.00625625","987.333333333333","65.1428571428571"
"355","355","0.666666666666667","817","4","3","2.29446762589928","272.333333333333","17"
"356","356","1","4037","5","8.4","6.95493548387097","576.714285714286","41.5714285714286"
"357","357","0.538461538461538","12155","2","3.17511520737327","0.607941628264209","935","57.6923076923077"
"358","358","0.454545454545455","5861","1","12.1","6.91929310344828","532.818181818182","55.6363636363636"
"359","359","0.833333333333333","2390","7","2.96734693877551","0.574163265306122","398.333333333333","36.5"
"360","360","0.571428571428571","8140","1","4.82798353909465","1.32108024691358","581.428571428571","48.2142857142857"
"361","361","0.4","2956","1","6","2.16783783783784","739","57"
"362","362","0.5","2958","2","6.6","3.4979","591.6","58"
"363","363","0.555555555555556","7754","1","2.24111617312073","4.82939407744875","861.555555555556","79.6666666666667"
"364","364","0.666666666666667","1553","1","2.2009756097561","-0.669663414634146","310.6","26.5"
"365","365","1","1660","1","6.5","6.34213274336283","415","30.6"
